Report Status,pilot,crew,engine,weather,runway,manufacturer,probable,foreign,factual
"

Turbine Overhaul Service's aggressive grit blasting and incomplete masking of the blade root neck that allowed the no grit blast area being exposed during the overhaul of the blade resulting in blasting media being embedded in the blade root from which a fatigue crack developed.  The fatigue crack propagated until separation of the blade occurred that resulted in a complete loss of engine power.  The fire was caused by the B-nut on the hydraulic line from the fuel pump and pulsation damper loosening from engine vibration after the compressor blade separated spraying high pressure fluid into the engine compartment that ignited on the hot engine cases.",0,0,1,0,0,0,0,0,0
"
A total loss of engine power due to the fracture of a single 1st stage compressor rotor airfoil in high-cycle fatigue as a result of the erosion and thinning of the airfoil's leading edge. Contributing to the fractured airfoil and loss of engine power was the operators decision to operate the engine past the manufacturers recommended time between overhaul.",0,0,1,0,0,1,0,0,0
"
Aircraft control was not maintained during cruise flight.  Contributing to the accident was turbulence and inadvertent flight into adverse weather.  ",0,0,0,1,0,0,0,0,0
"
Failure of the No. 2 cylinders rod bearing, which resulted in a total loss of engine power.
",0,0,1,0,0,0,0,0,0
"
Pilot's inaccurate fuel management resulting in fuel exhaustion.",1,0,0,0,0,0,0,0,0
"
Probable Cause

The probable cause of this incident was the TEB ground controller's failure to direct N316AS to hold short of runway 24 when issuing taxi instructions to the aircraft as required FAA Order 7110.65, paragraph 3-7-2 (2a); Taxi and Ground Movement Operations: ""When authorizing a vehicle to proceed on the movement area, or an aircraft to taxi to any point other than an assigned takeoff runway, absence of holding instructions authorizes an aircraft/vehicle to cross all taxiways and runways that intersect the taxi route. If it is the intent to hold the aircraft/vehicle short of any given point along the taxi route, issue the route, if necessary, then state the holding instructions"".
",0,0,0,0,1,0,1,0,0
"
The contamination of a spool bearing in the power turbine governor during manufacture, which led to the bearings failure in flight, a subsequent loss of engine power during departure, and the resultant hard landing.",0,0,1,0,0,0,0,0,0
"
The flight instructor's failure to correct for the student pilot's loss of aircraft control in a timely manner during takeoff. Contributing to the accident was the instructor's inability to see the taxiway sign from the rear seat.",1,0,0,0,0,0,0,0,0
"
The nose landing gear collapse as a result of the fracture of the engine mount at the nose gear actuator attachment point in an area that a service bulletin (SB) recommended for inspection. Contributing to the accident was maintenance personnels inadequate compliance with the SB.",0,0,1,0,0,0,0,0,0
"
The passengers inadvertent blockage of the rudder pedals, which resulted in the pilots inability to maintain directional control during the landing roll.",1,0,0,0,0,0,0,0,0
"
The pilot did not ensure that there was sufficient fuel aboard the airplane before initiating the flight, which resulted in temporary fuel starvation and an interruption in engine power during maneuvering.  Contributing to the accident was the pilots decision to continue with the ditching after engine power was restored.",1,0,1,0,0,0,0,0,0
"
The pilot's decision to continue visual flight into deteriorating weather, which resulted in an encounter with instrument meteorological conditions and subsequent inability to maintain clearance with terrain.",1,0,0,1,0,0,0,0,0
"
The pilot's failure to maintain control of the airplane during the landing approach in gusty wind conditions.",1,0,0,0,0,0,0,0,0
"
The pilot's improper pitch control after the landing flare, resulting in an aerodynamic stall, hard landing, and consequent substantial left wing damage.",1,0,0,0,0,0,0,0,0
"
The pilot's inadequate preflight planning and failure to inspect the runway before departure.",1,0,0,0,1,0,0,0,0
"
The pilot's loss of control during a crosswind landing.",1,0,0,0,0,0,0,0,0
"
The pilot's spatial disorientation and loss of situational awareness during the departure turn in dark night conditions, which resulted in an in-flight collision with water.",1,0,0,0,0,0,0,0,0
"
The pilots' inadequate in-flight planning and improper selection of runway 36 for landing, which resulted in a significant quartering tailwind during the landing, exceedance of the airplane's braking capability, and a subsequent runway overrun.",1,0,0,0,1,0,0,0,0
"
The pilots failure to maintain airspeed while maneuvering for a precautionary landing after the light sport airplane started vibrating, which led to an inadvertent aerodynamic stall. ",1,0,0,0,0,0,0,0,0
"
The pilots failure to prevent a low-altitude stall and spin following a complete loss of engine power during the initial climb after takeoff.",1,0,1,0,0,0,0,0,0
"
The pilots loss of airplane control during high-altitude maneuvering and his subsequent failure to recover airplane control. Contributing to the accident was the flight instructors inadequate supervision of the pilot and his failure to perform remedial action.",1,0,0,0,0,0,0,0,0
"
The pilots loss of airplane control during takeoff after encountering rapidly changing wind conditions.
",1,0,0,0,0,0,0,0,0
"
The pilots loss of control of the airplane for reasons that could not be determined because an examination of the airplane did not find an abnormality that would have precluded normal operations. ",1,0,0,0,0,0,0,0,0
"
The pilots operation of the airplane with underinflated tires, which resulted in the right tires failure during takeoff and a subsequent runway excursion.
",1,0,0,0,1,0,0,0,0
"
The student pilots failure to maintain control of the helicopter while landing, which resulted in a tail rotor ground strike and collision with terrain. ",1,0,0,0,0,0,0,0,0
"
the return to service of overhauled airplane engine parts with undetected fatigue cracks, resulting in complete loss of engine power and uncontained engine failure. A contributing factor was the inadequate diffuser and HPT case inspection procedure.",0,0,1,0,0,0,0,0,0
"
The pilot's failure to attain the proper landing approach speed and touchdown point, which resulted in a runway excursion after touchdown and collision with a blast fence.",1,0,0,0,1,0,0,0,0
"(1) The flight crewmembers unprofessional behavior, including their nonadherence to sterile cockpit procedures by engaging in nonpertinent conversation, which distracted them from their primary flight-related duties and led to their failure to correctly set and verify the flaps; (2) the captains decision to reconfigure the flaps during the takeoff roll instead of rejecting the takeoff when he first identified the misconfiguration, which resulted in the rejected takeoff beginning when the airplane was about 13 knots above the takeoff decision speed and the subsequent runway overrun; and (3) the flight crewmembers lack of checklist discipline, which contributed to their failure to detect the incorrect flap setting before initiating the takeoff roll. Contributing to the survivability of this incident was the presence of an engineered materials arresting system beyond the runway end.",0,1,1,0,1,0,0,0,0
"(1) The pilots failure to perform adequate preflight planning and to use available in flight resources in a timely manner and (2) his decision to continue visual-flight-rules flight in instrument meteorological conditions despite his lack of an instrument rating and proficiency in instrument flying, which resulted in spatial disorientation and impact with terrain.",1,0,0,0,0,0,0,0,0
"(1) the inherent limitations of the see-and-avoid concept, which made it difficult for the airplane pilot to see the helicopter until the final seconds before the collision, and (2) the Teterboro Airport local controllers nonpertinent telephone conversation, which distracted him from his air traffic control (ATC) duties, including correcting the airplane pilots read back of the Newark Liberty International Airport (EWR) tower frequency and the timely transfer of communications for the accident airplane to the EWR tower. Contributing to this accident were (1) both pilots ineffective use of available information from their aircrafts electronic traffic advisory system to maintain awareness of nearby aircraft, (2) inadequate Federal Aviation Administration (FAA) procedures for transfer of communications among ATC facilities near the Hudson River Class B exclusion area; and (3) FAA regulations that did not provide adequate vertical separation for aircraft operating in the Hudson River Class B exclusion area.",1,0,0,0,0,0,0,0,0
"(1) the pilot's decision to continue visual flight into an area of instrument meteorological conditions, which resulted in his geographic disorientation and controlled flight into terrain; and (2) Promech's company culture, which tacitly endorsed flying in hazardous weather and failed to manage the risks associated with the competitive pressures affecting Ketchikan-area air tour operators; its lack of a formal safety program; and its inadequate operational control of flight releases.
",1,0,0,1,0,0,0,0,0
"(1) the pilot's failure to ensure that a fuel system icing inhibitor was added to the fuel before the flights on the day of the accident; (2) his failure to take appropriate remedial actions after a low fuel pressure state (resulting from icing within the fuel system) and a lateral fuel imbalance developed, including diverting to a suitable airport before the fuel imbalance became extreme; and (3) a loss of control while the pilot was maneuvering the left wing-heavy airplane near the approach end of the runway.",1,0,0,0,1,0,0,0,0
"(1) the sudden loss of power to both engines that resulted from impact with a bird (red-tailed hawk), which fractured the windshield and interfered with engine fuel controls, and (2) the subsequent disorientation of the flight crewmembers, which left them unable to recover from the loss of power. Contributing to the accident were (1) the lack of Federal Aviation Administration regulations and guidance, at the time the helicopter was certificated, requiring helicopter windshields to be resistant to bird strikes; (2) the lack of protections that would prevent the T handles from inadvertently dislodging out of their detents; and (3) the lack of a master warning light and audible system to alert the flight crew of a low-rotor-speed condition.",0,1,1,0,0,0,0,0,0
"***This probable cause was modified on November 27, 2018. Please see the docket for this accident to view the original probable cause.*** 

The pilot's improper decision to takeoff in an area of rough water and ocean swells, which resulted in a failure of the right float struts.",1,0,0,0,0,0,1,0,0
"***This report was modified on August 18, 2015. Please see the docket for this accident to view the original report.*** 

The operator's improper installation of a supplemental electrical power supply, which caused a short circuit due to inadequate vibration and abrasion protection, which resulted in chafing of the wires, which contacted one another, short-circuited, and caused an onboard fire. Contributing to the accident were the installation of the supplemental electrical power supply system without the supervision of an FAA-certified mechanic, the lack of an onboard means for fire suppression, and the pilot's inability to see the low-conspicuity power lines across the landing approach path until it was too late to take evasive action.",1,0,0,0,0,0,0,0,0
"***This report was modified on June 4, 2020. Please see the docket for this accident to view the original report.*** 

The departing pilot's failure to see and avoid the arriving airplane as it was turning off the runway from which the departing pilot was taking off.",1,0,0,0,1,0,0,0,0
"***This report was modified on May 22, 2014. Please see the docket for this accident to view the original report.***

The pilot's spatial disorientation, which resulted in his loss of airplane control. Contributing to the pilot's spatial disorientation was the sequence and timing of the instructions issued by the air traffic controller. The pilot's operation of the airplane after using impairing medication may also have contributed.",1,0,0,0,0,0,0,0,0
"***This report was modified on November 15, 2012. Please see the docket for this accident to view the original report with revisions shown.***

The pilots failure to avoid and recover from the prohibited maneuver of aerodynamic spin during a training flight, for undetermined reasons. Contributing to the severity of the accident was the failure of the ballistic parachute rocket as a result of the manufacturers use of an inadequate thread sealant glue on the end caps of the rocket. Contributing to the severity of the occupants injuries was the separation of their shoulder belt attachment brackets at impact.",1,0,0,0,0,1,0,0,0
"**This probable cause was modified on 4/5/2012. Please see the public docket for this accident to view the original probable cause.**


The initial damage to the fan blades was caused by the ingestion of a Red-Tailed Hawk that caused one or more fan blades to fracture, striking the fan case and causing it to bulge. The initial fan blade fragment release impacted and damaged other passing fan blades generating various sized blades fragments. Some of these blade fragments were propelled forward of the fan case by passing fan blades and were reingested, creating a cascading effect of collateral impact damage to the other fan blades, the fan case, and the inlet cowl.",0,0,0,0,0,0,1,0,0
"**This report was modified on 4/21/2016. Please see the public docket for this accident for more information.**

The failure of the Balony balloon pilot to see and avoid the Balloon Works balloon during an ascent, which resulted in the basket of the Balony balloon colliding vertically with the envelope of the Balloon Works balloon.",1,0,0,0,0,0,0,0,0
A Bombardier CRJ200 No. 2 engine failure due to the separation of a fan blade airfoil at a low cycle fatigue crack that originated at the forward fan blade pin hole attachment. The separated fan blade had previously undergone a hot form repair and both metallurgical analysis and repair records indicated that the lance/shot peen step required to restore sufficient residual stress levels to the blade material was not completed.,0,0,1,0,0,0,0,0,0
"A Bombardier CRJ700 No. 1 engine failure caused by buckling of the combustion outer liner due to fatigue cracks. The liner buckling resulted in airflow disruption and reduced engine performance. The engine fuel control unit attempted to compensate for the decrease in engine performance by increasing the fuel flow rate. The combustion liner damage and increased fuel flow led to incomplete combustion of the fuel injected into the combustion chamber. Unconsumed fuel then ignited downstream of the combustion chamber (delayed ignition) and resulted in high pressure turbine thermal damage, and the eventual separation of a high pressure turbine 2nd stage nozzle vane segment. The separated vane segment subsequently caused low pressure turbine case burn through and catastrophic impact damage to the high and low pressure turbine stages.",0,0,1,0,0,0,0,0,0
"A No. 1 (left) engine high pressure compressor stage 2 blade separation. The blade separated due to a mixed-mode fatigue crack that originated on a blade disk post and was initiated by a misaligned (out-of-schedule) high pressure compressor stage 1 variable stator vane that was missing a washer and retaining nut on the vane trunnion stem.

 

 

 
",0,0,1,0,0,0,0,0,0
"A No. 1 (left) engine undercowl fire caused by a fuel nozzle installation error during engine overhaul at Delta TechOps. A fuel nozzle b-nut was cross threaded, which allowed fuel to leak on hot engine case surfaces and subsequently ignite.",0,0,1,0,0,0,0,0,0
A No. 1 engine fire caused by a fuel manifold supply line high cycle fatigue crack which led to a fuel leak that subsequently ignited on hot engine case surfaces. The fatigue crack originated and progressed due to elevated fuel manifold assembly vibration levels. Engine vibration testing identified a combustor tone that excites a natural (resonant) frequency of the fuel manifolds at specific engine speeds on Pratt & Whitney PW4000-94 and -100 inch fan series engines that feature a TALON II combustor.,0,0,1,0,0,0,0,0,0
"A bearing failure in the engines supercharger section, which resulted in a total loss of engine power during flight. Contributing to the accident was the soft soil of the forced landing site.",0,0,1,0,0,0,0,0,0
A bird strike which substantially damaged the propeller and required the engine to be secured. Contributing to the accident was the damaged propeller.,0,0,1,0,0,0,0,0,0
"A blockage of the pitot static system that preclude the airspeed indicator from displaying speeds greater than 40 mph, which led the pilot to abort the landing and overrun the runway.",1,0,0,0,1,0,0,0,0
"A blown nose landing gear tire during landing, which resulted in the pilots inability to maintain directional control.",1,0,0,0,0,0,0,0,0
"A burner flameout, which resulted in the pilot's inability to arrest the balloons descent and its subsequent impact with power lines as he was trying to relight the burner. ",1,0,0,0,0,0,0,0,0
A bystanders inadvertent contact with the propeller while the engine was running.,0,0,1,0,0,0,0,0,0
A catastrophic and uncontained engine failure due to oil starvation. Contributing to the accident was the missing No. 3 cylinder intake rocker cover for reasons that could not be determined based on the available evidence.,0,0,1,0,0,0,0,0,0
"A catastrophic engine failure and forced landing due to the separation of the No. 1 connecting rod as a result of migration of the connecting rod piston pin bushing. Contributing to the accident was the mechanics failure to follow manufacturer guidance during the most recent oil change, which likely would have detected bushing material lost from the rod piston pin, which would have indicated impending migration and connecting rod failure.",0,0,1,0,0,1,0,0,0
"A catastrophic engine failure due to an oil starvation event for reasons that could not be determined based on the available evidence.
",0,0,1,0,0,0,0,0,0
"A catastrophic engine failure due to improper torque on the engine through-bolt nuts, which resulted in relative movement between the crankcase halves, damage to a main journal bearing, and a loss of oil lubrication.",0,0,1,0,0,0,0,0,0
"A catastrophic engine failure due to lack of lubrication due to the absence of 2 piston cooling nozzles that backed out of their respective threaded bores, which resulted in a forced landing on unsuitable terrain.",0,0,1,0,0,0,0,0,0
"A catastrophic engine failure due to the partial blockage of the lubricating oil galley in one of the crankshaft connecting rod journals, leading to the failure of the connecting rod cap.",0,0,1,0,0,0,0,0,0
"A catastrophic engine failure due to unrecognized and unrepaired corrosion within the engine, which was consistent with engine operations after an extended period of inactivity.",0,0,1,0,0,0,0,0,0
"A catastrophic engine failure of undetermined origin, which resulted in a total loss of engine power and subsequent ditching. Contributing to the accident was the pilot's failure to jettison the canopy before ditching, which resulted in his inability to egress the airplane as it sank.",1,0,1,0,0,0,0,0,0
"A catastrophic engine failure, which was initiated by the failure of the No. 5 connecting rod cap.",0,0,1,0,0,0,0,0,0
"A clamp rubbing a hole in a fuel drain line, which resulted in an engine compartment fuel leak and subsequent engine fire.",0,0,1,0,0,0,0,0,0
A collapse of the right main landing gear during the landing roll because the gear would not lock into place. Contributing to the accident was the pilot's failure to perform the alternate landing gear extension procedure before landing.,1,0,0,0,0,0,0,0,0
"A collapsed engine induction duct, which resulted in restricted air flow to the engine and a subsequent loss of engine power. Contributing to the accident was the operator's failure to ensure that the correct induction duct was installed.",0,0,1,0,0,0,0,0,0
"A collision with a deer during the landing roll, which resulted in a runway excursion.",0,0,0,0,1,0,0,0,0
A collision with a deer on the runway during the takeoff roll at night.     ,0,0,0,0,1,0,0,0,0
"A collision with a deer on the runway during the takeoff roll.
",0,0,0,0,1,0,0,0,0
A collision with deer on the runway during the takeoff roll.,0,0,0,0,1,0,0,0,0
A collision with deer on the runway while landing at night and the airport's lack of a complete perimeter fence.  ,0,0,0,0,1,0,0,0,0
A collision with terrain for reasons that could not be determined as the investigation did not reveal any postaccident anomalies with the airplane or pilot.,1,0,0,0,0,0,0,0,0
A complete loss of electrical and engine power over unsuitable terrain due to a cannon plug that became disconnected for undetermined reasons.,0,0,1,0,0,0,0,0,0
"A complete loss of engine power as a result of fuel starvation due to an unsecured fuel filter, which moved in flight and kinked the flexible fuel line, severely restricting the fuel flow to the carburetor. Contributing to the accident was the inadequate maintenance conducted on the airplane.",0,0,1,0,0,0,0,0,0
"A complete loss of engine power due to the failure of the No. 2 bearing, which was precipitated by electrical arcing that occurred at an unknown time prior to the accident flight.",0,0,1,0,0,0,0,0,0
A complete loss of engine power due to the failure of the airplane's engine-driven fuel pump.,0,0,1,0,0,0,0,0,0
A complete loss of engine power during an agricultural application flight for reasons that could not be determined because postaccident examinations did not reveal any anomalies that would have precluded normal operation.,0,0,1,0,0,0,0,0,0
A complete loss of engine power during climb for reasons that could not be determined due to the severity of postcrash fire damage to the airplane.,0,0,1,0,0,0,0,0,0
"A complete loss of engine power for reasons that could not be determined because of insufficient evidence.
",0,0,1,0,0,0,0,0,0
A complete loss of engine power for undetermined reasons.,0,0,1,0,0,0,0,0,0
A complete loss of engine power for undetermined reasons.  A contributing factor was the rough terrain encountered during the forced landing.,0,0,1,0,0,0,0,0,0
"A component failure of the fuel control unit, which resulted in a loss of engine power.",0,0,1,0,0,0,0,0,0
"A crack in the No. 4 cylinder head, which resulted in engine roughness, a fuel leak, a loss of engine power, and the subsequent in-flight fire.",0,0,1,0,0,0,0,0,0
"A crack in the cylinder of the radial engine, which resulted in a loss of engine power and a forced landing on unsuitable terrain.",0,0,1,0,0,0,0,0,0
"A cracked cooling fan housing, which led to a malfunction of the ignition system and a loss of engine power during the landing approach.",0,0,1,0,0,0,0,0,0
"A cracked fuel line, which resulted in a loss of fuel pressure and subsequent loss of engine power.",0,0,1,0,0,0,0,0,0
"A damaged ignition harness, which resulted in a partial loss of engine power.",0,0,1,0,0,0,0,0,0
A decrease in indicated oil pressure while maneuvering at low altitude for reasons that could not be determined because postaccident examination did not reveal any anomalies that would have precluded normal operation. Also causal was the pilots failure to maintain clearance from power lines during the precautionary landing to a field. ,1,0,0,0,0,0,0,0,0
"A decrease in oil pressure due to the pilot's unintentional overfilling of the engine oil sump, and the pilot's subsequent decision to perform an off-airport precautionary landing, which resulted in impact with a tree.",1,0,1,0,0,0,0,0,0
"A deer running across the runway and impacting the left side of the airplane, resulting in a loss of directional control, a runway excursion, and a ground loop.",0,0,0,0,1,0,0,0,0
"A defective alternator wire splice that resulted in an intermittent electrical system malfunction and erroneous fuel gauge readings, and, a loss of engine power for an undetermined reason.",0,0,1,0,0,0,0,0,0
"A defective exhaust system that allowed carbon monoxide to enter the cabin and impair the pilot, rendering him unable to control the airplane.",1,0,0,0,0,0,0,0,0
"A design change in the helicopter's fly-by-wire control system that resulted in an increase in the sensitivity of the cyclic stick while transitioning from ground to flight mode, magnifying the pilot's control inputs, which resulted in unintentional over control in the roll axis, upper and lower main rotor contact, and damage to the rotor blades.",1,0,0,0,0,0,0,0,0
"A design modification that changed the fasteners and components used to attach the main rotor drive pulley to the engine, which resulted in fatigue failure of those fasteners and a complete loss of power to the main rotor.",0,0,1,0,0,0,0,0,0
"A detached throttle cable support block, which resulted in the pilots inability to control the throttle and the subsequent stall while maneuvering for an emergency landing.",1,0,0,0,0,0,0,0,0
"A directional upset on landing due to a thermally induced atmospheric disturbance, which the pilot was unable to successfully counter due to improperly set rudder travel limits.",1,0,0,0,0,0,0,0,0
"A disconnected ground wire during initial climb, which degraded the fuel boost pumps performance and resulted in a total loss of engine power due to fuel starvation.",0,0,1,0,0,0,0,0,0
"A disconnection of the tailwheel steering mechanism during landing, which resulted in the pilots loss of directional control.",1,0,0,0,0,0,0,0,0
"A dual loss of engine power for undetermined reasons after the pilot's improper decision to attempt another maneuver after recovering from a perceived compressor stall, rather than returning to the airport.",1,0,1,0,0,0,0,0,0
A dual total loss of engine power as a result of fuel exhaustion.,0,0,1,0,0,0,0,0,0
A dynamic rollover inadvertently induced by the pilot during landing.,1,0,0,0,0,0,0,0,0
"A failed electrical relay, which provided an improper indication of a governor and clutch problem, which resulted in the pilot conducting a precautionary landing during which he failed to maintain sufficient main rotor speed.  ",1,0,0,0,0,0,0,0,0
"A failure of an engine cylinder exhaust valve due to the buildup of lead deposits on the valve stem and fatigue cracking of the valve stem, resulting in a total loss of engine power, and the loss of the propeller. Contributing to the accident was the lack of design standards or guidance for assembly and maintenance of light sport aircraft.",0,0,1,0,0,0,0,0,0
"A failure of both magnetos due to multiple deficiencies, which resulted in a total loss of engine power.",0,0,1,0,0,0,0,0,0
"A failure of the No. 1 piston pin plug due to corrosion in the cylinder barrel, which resulted in oil contamination, oil starvation to the crankshaft connecting rod bearings, and a subsequent partial loss of engine power.",0,0,1,0,0,0,0,0,0
"A failure of the No. 2 cylinder connecting rod due to a lack of lubrication, which resulted in a total loss of engine power.",0,0,1,0,0,0,0,0,0
A failure of the carburetor heat cable attach bracket which resulted in the inadvertent activation of carburetor heat and the subsequent loss of engine power during takeoff. Contributing to the accident was the pilot's operation of the aircraft with a known deficiency.,1,0,1,0,0,0,0,0,0
"A failure of the electric fuel boost pump, which resulted in fuel starvation and a subsequent total loss of engine power.",0,0,1,0,0,0,0,0,0
"A failure of the engine crankshaft top rear trailing forward counterweight retaining plate, which resulted in a total loss of engine power. The reason for the retaining plates failure could not be determined during postaccident examination.",0,0,1,0,0,0,0,0,0
"A failure of the engine's No. 3 and No. 4 cylinder valve lifters for undetermined reasons, which resulted in a total loss of engine power.",0,0,1,0,0,0,0,0,0
"A failure of the front cylinder piston due to the pilot's improper maintenance, which resulted in a total loss of engine power after takeoff. Contributing to the accident was the pilot's decision to return to the runway at low altitude following the loss of engine power, and his failure to maintain adequate airspeed during the turn, which resulted in the airplane exceeding its critical angle of attack and experiencing an aerodynamic stall.",1,0,1,0,1,0,0,0,0
"A failure of the fuel tank selector valve in a partially closed position, which resulted in fuel starvation to the engine and a total loss of engine power.",0,0,1,0,0,0,0,0,0
"A failure of the helicopter's hydraulic flight control systems for reasons that could not be determined due to the fire damage, and the pilot's inability to turn off the hydraulic system to relieve control pressure.",1,0,0,0,0,0,0,0,0
A failure of the normal landing gear extension system for reasons that could not be determined due to damage to the system and the pilot's failure to ensure that the landing gear was down and locked before touchdown. Contributing to the accident was the pilots distraction due to weather and traffic.,1,0,0,1,0,0,0,0,0
A failure of the pilot's side window due to undetected cracking around the lower aft portion of the storm window cutout.,1,0,0,0,0,0,0,0,0
"A failure of the rear bearing in the No. 2 engine, which (1) created multiple and likely unexpected and confusing cockpit indications, resulting in the pilot's improper diagnosis and subsequent erroneous shutdown of the No. 1 engine, and (2) the resulting degraded the performance of the No. 2 engine, until it ultimately lost power. The complete loss of engine power likely occurred at an altitude and/or airspeed that was too low for the pilot to execute a successful emergency autorotative landing.",1,0,1,0,0,0,0,0,0
"A failure of the right brake for reasons that could not be determined based on the available information. Contributing to the accident was the pilot's decision to continue the flight after experiencing a braking anomaly due to his perceived need for an expedited departure, his wish to avoid a flight delay, and his perceived lack of suitable maintenance facilities for timely troubleshooting of the brake system.",1,0,0,0,0,0,0,0,0
"A failure of the right engine magneto distributor drive gears, which resulted in a total loss of engine power during takeoff. Contributing to the accident was the operators failure to inspect and maintain the magnetos in accordance with the engine manufacturers specifications. ",0,0,1,0,0,1,0,0,0
"A failure of the right fuel tank to supply fuel to the engine for reasons that could not be determined, which resulted in a total loss of engine power due to fuel starvation.",0,0,1,0,0,0,0,0,0
"A failure of the turbocharger that resulted in complete depletion of the engine oil and catastrophic internal failure of the engine. Contributing to the accident was improper and/or incomplete maintenance and inspection of the turbocharger.
 

",0,0,1,0,0,0,0,0,0
"A failure of the wiring between the engine control unit and the fuel injector, which resulted in a total loss of engine power.",0,0,1,0,0,0,0,0,0
"A failure to achieve a positive climb rate after takeoff for reasons that could not be determined because postaccident examination of the airframe and engine did not reveal any mechanical malfunctions or anomalies that would have precluded normal operation.
",0,0,1,0,0,0,0,0,0
"A fatigue failure of a copper oil line, which resulted in a partial loss of engine power due to oil starvation.",0,0,1,0,0,0,0,0,0
"A fatigue failure of an engine compressor turbine blade, which resulted in extensive secondary engine damage and a complete loss of engine power.",0,0,1,0,0,0,0,0,0
"A fatigue failure of the No. 3 piston skirt, which resulted in a total loss of engine power and the subsequent ditching in the ocean.",0,0,1,0,0,0,0,0,0
"A fatigue failure of the No. 5 connecting rod, which resulted in a catastrophic engine failure during the initial climb and a subsequent forced landing.",0,0,1,0,0,0,0,0,0
A fatigue failure of the elevator push-pull rod which resulted in the pilot's inability to control the aircraft's pitch attitude while landing.,1,0,0,0,0,0,0,0,0
"A fatigue failure of the left aileron control rod end during aerobatic flight, which resulted in the pilot's inability to maintain control of the airplane.",1,0,0,0,0,0,0,0,0
"A fatigue failure of the left engines throttle cable, which resulted in the loss of left engine power.",0,0,1,0,0,0,0,0,0
"A fatigue failure of the overrunning clutch subassembly due to abnormal bending loads due to cracks on the center engine mount, which resulted in an inflight loss of power. Contributing to the accident was the helicopter's low altitude and airspeed when the loss of power occurred, which precluded the pilot from successfully performing an autorotation.",1,0,1,0,0,0,0,0,0
"A fatigue fracture of the governor-to-fuel control Pc line, which resulted in a partial loss of engine power.",0,0,1,0,0,0,0,0,0
"A fault in the No. 1 engine control module, which disabled the ignition system and resulted in the engine losing power; during the subsequent autorotation, the main rotor rpm was further reduced just before touchdown, which resulted in a hard landing.",0,0,1,0,0,0,0,0,0
"A fire during the engine run-up for undetermined reasons. 
",0,0,1,0,0,0,0,0,0
A fire in the airplanes engine compartment that initiated for reasons that could not be determined due to extensive fire damage.,0,0,1,0,0,0,0,0,0
A fire in the engine compartment due to the pilot overpriming the hot engine. ,1,0,1,0,0,0,0,0,0
A fire of undetermined origin in the engine compartment.,0,0,1,0,0,0,0,0,0
A fire that originated from a fuel leak at an undetermined location in the engine compartment. Contributing to the accident was the builder's use of non-aviation hardware for engine fluid fittings and lines.,0,0,1,0,0,0,0,0,0
"A flat nosewheel tire, which resulted in the pilots inability to maintain directional control on landing.",1,0,0,0,0,0,0,0,0
A fuel flange seal leak and water in the fuel resulting in a loss of engine power during takeoff.  Contributing to the accident was an inadequate preflight.,0,0,1,0,0,0,0,0,0
